country,i,n,t,p,a
afghanistan,42.44,47.72,51.7,45.35,53.88
albania,44.98,61.8,49.14,48.63,45.58
algeria,60.29,69.65,51.65,55,44.13
andorra,44.23,66.41,37.85,53.15,50.37
angola,47.1,55.26,42.13,45.63,56.33
antigua-and-barbuda,52.42,54.69,39.45,50.39,49.94
argentina,59.13,69.15,41.84,57.47,38.47
armenia,46.41,64.79,50.29,47.55,48.52
australia,48.22,57.24,30.86,52.49,41.98
austria,53.48,67.67,41.45,57.53,42.33
azerbaijan,47.15,57.87,49.55,46.38,46.14
bahamas,53.86,56.65,40.9,48.05,53.09
bahrain,45.87,59.16,39.49,50.45,44
bangladesh,52.27,57.32,41.26,54.41,39.86
barbados,56.43,56.55,39.78,47.97,51.56
belarus,55.66,59.35,52.38,51.61,41.65
belgium,50.11,64.69,37.09,58.29,41.87
belize,50.93,57.63,36.75,50.14,49.38
bhutan,45.41,54.81,32.96,50.81,42.48
bolivia,49.77,65.31,43.72,54.77,47.4
bosnia-and-herzegovina,50.34,69.04,50.35,53.73,46.03
botswana,51.27,60.18,37.97,53.32,45.62
brazil,59.85,69.04,40.86,56.28,35.44
brunei,55.68,53.88,29.23,56.87,33.86
bulgaria,50.16,68.16,48.53,56.77,44.78
burkina-faso,38.24,58.1,35.14,52.4,49.73
ivory-coast,40.58,55.42,43.3,47.01,53.72
cambodia,47.84,55.06,34.7,52.81,41.89
cameroon,41.57,51.12,39.04,42.94,49.78
canada,52.47,59.25,34.44,52.48,40.91
chile,60.92,69.3,41.45,57.09,43.12
china,50.14,49.73,41.48,49.96,44.82
colombia,47.38,63.87,42.66,53.34,47.4
congo,37.63,48.97,46.57,42.89,55.23
costa-rica,47.61,64.41,41,54.23,46.84
croatia,50.43,67.03,46.24,54.27,44.15
cuba,42.67,61.3,35.07,58.58,48.61
cyprus,46.84,63.22,41.34,51.28,43.53
czech-republic,56.74,65.29,45.43,57.34,41.17
denmark,50.71,63.03,36.77,56.44,45.99
djibouti,48.81,56.38,45.28,50.56,56.62
dominica,55.8,58.61,41.01,49.86,46.48
dominican-republic,47.77,61.09,37.78,52.24,48.04
ecuador,47.8,62.4,41.37,56.17,46.54
egypt,47.77,59.46,44.31,52.12,41.53
el-salvador,49.24,62.69,42.52,53.87,48.9
estonia,56.92,64.43,42.04,57.46,38.92
swaziland,47.93,51.86,38.22,46.43,50.08
ethiopia,47.15,55.03,42.02,50.58,48.63
fiji,42.75,56.44,31.17,52,48.09
finland,59.3,62.5,40.42,58.84,42.04
france,51,61.29,42.05,56.78,42.95
georgia,50.36,63.37,54.6,50.17,47.25
germany,56.17,65.62,42.1,56.46,42
ghana,45.68,44.81,41.13,38.84,53.99
greece,49.97,66.47,45.85,52.31,39.39
grenada,50.79,57.33,39.74,46.55,50.88
guatemala,45.19,61.98,41.28,53.31,49.39
guyana,54.85,57.34,40.67,51.12,48.2
haiti,42.91,55.56,36.12,48.79,51.26
honduras,45.9,61.71,40.67,53.47,50.9
hungary,55.07,67.01,45.6,54.2,40.69
iceland,51.39,65.86,33.9,59.52,42.84
india,44.4,58.08,39.14,54.09,41.69
indonesia,45.65,54.47,39.03,51.77,39.88
iran,44.41,57.06,52.06,47.15,48.02
iraq,50.47,60.96,49.77,50.12,43.09
ireland,50.68,62.67,32.78,55.83,36.49
israel,51.28,61.83,39.31,53.76,44.47
italy,56.94,70.17,43.73,54.27,36.49
jamaica,54.27,55.82,42.7,47.8,48.99
japan,53.07,59.39,37.75,58.57,42.34
jordan,43.06,61.55,46.56,52.02,45.34
kazakhstan,46.47,56.36,49.18,47.7,45.78
kenya,46.18,56.95,38.9,47.16,47.55
kuwait,48.35,60.88,41.69,52.6,43.7
kyrgyzstan,45.01,57.25,47.84,48.88,47.59
laos,45.47,57.16,34.17,54.85,48
latvia,57.98,63.53,48.57,58.81,37.81
lebanon,37.22,62.98,46.27,50.66,45.4
lesotho,51.54,47.5,43.04,42.54,47.93
libya,52.61,60.94,46.96,49.87,45.4
lithuania,61.19,66.22,49.61,59.86,38.2
luxembourg,50.39,61.09,40.47,53.41,44.54
madagascar,51.54,64.17,43.73,56.63,45.31
malawi,45.89,54.83,37.81,48.55,47.78
malaysia,51.17,50.71,31.48,54.3,38.26
maldives,57.77,63.72,35.28,57.72,39.16
mali,44.16,54.89,42.72,46.81,54.39
malta,51.57,63.86,37.53,53.67,37.55
mauritius,45.31,60.5,40.17,50.51,44.56
mexico,47.17,64.43,43.49,54.78,48.68
moldova,49.46,63.39,51.84,50.19,44.25
monaco,35.07,60.25,40.33,50.61,45.58
mongolia,48.24,56.72,46.97,49.83,43.02
montenegro,45.77,68.48,51.04,51.86,47.86
morocco,53.81,69.57,49.98,57.93,44.66
mozambique,44.16,59.57,37.73,50.21,46.98
myanmar-burma,51.74,52.01,40.47,54.31,41.7
namibia,48.46,58.74,37.08,51.79,45.84
nepal,51.86,63.02,38.02,58.83,35.24
netherlands,47.93,62.22,35.55,56.66,46.99
new-zealand,48.59,56.97,30.22,52.39,42.52
nicaragua,35.03,52.63,37.67,46.76,60.48
nigeria,42.57,47.22,41.49,36.98,55.65
macedonia,46.75,65.55,49.54,49.39,46.13
norway,51.54,61.39,37.66,55.61,45.25
oman,44.61,55.63,39.59,50.89,45.58
pakistan,43.41,56.13,36.84,51.81,38.88
palestine,45.26,62.93,48.18,50,46.68
panama,49.43,62.35,40.45,55.82,49.06
papua-new-guinea,46.41,52.76,31.99,48.56,48.77
paraguay,56.15,67.35,45.98,57.36,42.03
peru,49.03,64.93,42.03,56.06,47.34
philippines,52.85,55.14,36.07,53.93,40.97
poland,59.66,67.46,51.16,57.01,38.43
portugal,59.3,67.83,37.41,57.99,38.01
qatar,46.22,57.4,38.56,52.26,44.54
romania,48.42,66.21,49.44,53.64,42.48
russia,57.8,61.62,53.03,54.96,41.22
saint-kitts-and-nevis,56.97,57.9,35.33,46.45,47.82
saint-lucia,56.68,57.7,39.23,49.17,49.29
saint-vincent-and-the-grenadines,57.04,61.96,39.26,54.51,46.52
saudi-arabia,48.17,58.96,43.68,51.17,44.12
senegal,45.18,58.73,38.62,52.64,51.95
serbia,47.8,68.1,51.74,54.16,48.24
seychelles,45.77,61.65,39.14,53.64,42.59
singapore,54.7,49.12,28.2,56.42,39.47
slovakia,57.03,65.98,45.2,54.8,42.56
slovenia,52.49,64.67,42.51,55.38,41.66
